time_s,I_L_mot_A
3.9399999999999995e-08,0.0011574406921999977
3.941e-08,0.0011609491242
3.942e-08,0.0011644026165999995
3.9429999999999996e-08,0.001167800993799998
3.9439999999999994e-08,0.001171144095799998
3.945e-08,0.0011744317604
3.946e-08,0.0011776638241999995
3.9469999999999995e-08,0.001180840140599998
3.948e-08,0.0011839605462000001
3.949e-08,0.0011870248965999996
3.9499999999999996e-08,0.001190033033999998
3.9509999999999994e-08,0.0011929848127999981
3.952e-08,0.0011958801008000002
3.953e-08,0.0011987187535999998
3.9539999999999995e-08,0.0012015006199999983
3.955e-08,0.0012042255778
3.956e-08,0.0012068934947999997
3.9569999999999996e-08,0.0012095042331999985
3.9579999999999994e-08,0.0012120576651999985
3.959e-08,0.0012145536708000001
3.96e-08,0.0012169921299999998
3.9609999999999995e-08,0.0012193729227999986
3.962e-08,0.0012216959292
3.963e-08,0.0012239610335999997
3.9639999999999996e-08,0.0012261681315999986
3.9649999999999994e-08,0.0012283171097999988
3.966e-08,0.0012304078716
3.967e-08,0.0012324403013999998
3.9679999999999995e-08,0.0012344143013999988
3.969e-08,0.0012363297816
3.97e-08,0.0012381866497999997
3.9709999999999996e-08,0.001239984805999999
3.9719999999999994e-08,0.0012417241589999988
3.973e-08,0.0012434046378
3.974e-08,0.0012450261411999998
3.9749999999999995e-08,0.001246588599199999
3.976e-08,0.0012480919374
3.977e-08,0.0012495360702
3.9779999999999996e-08,0.0012509209297999991
3.9789999999999994e-08,0.0012522464517999992
3.98e-08,0.0012535125628
3.981e-08,0.0012547192083999998
3.9819999999999995e-08,0.0012558663207999994
3.983e-08,0.0012569538422000002
3.984e-08,0.0012579817203999999
3.9849999999999996e-08,0.0012589498975999994
3.9859999999999994e-08,0.0012598583281999993
3.987e-08,0.0012607069734
3.988e-08,0.0012614957742
3.9889999999999995e-08,0.0012622247017999996
3.99e-08,0.0012628937072000001
3.991e-08,0.0012635027694
3.9919999999999996e-08,0.0012640518415999995
3.993e-08,0.0012645409106
3.994e-08,0.0012649699296
3.995e-08,0.001265338892
3.9959999999999995e-08,0.0012656477699999997
3.997e-08,0.0012658965436
3.998e-08,0.0012660851972
3.9989999999999996e-08,0.0012662137264
4e-08,0.0012662821134
4.001e-08,0.0012662903504
4.002e-08,0.0012662384374000002
4.0029999999999995e-08,0.0012661263744
4.004e-08,0.0012659541636
4.005e-08,0.0012657218128
4.0059999999999996e-08,0.0012654293220000002
4.007e-08,0.0012650766978
4.008e-08,0.0012646639658
4.009e-08,0.0012641911382
4.0099999999999995e-08,0.0012636582328000004
4.011e-08,0.0012630652662
4.012e-08,0.001262412274
4.0129999999999996e-08,0.0012616992784000003
4.014e-08,0.0012609263072
4.015e-08,0.0012600933892
4.016e-08,0.0012592005756
4.0169999999999995e-08,0.0012582478930000006
4.018e-08,0.0012572353892
4.019e-08,0.0012561631042000002
4.0199999999999996e-08,0.0012550310846000008
4.021e-08,0.0012538393916
4.022e-08,0.001252588064
4.023e-08,0.0012512771696000001
4.0239999999999995e-08,0.001249906764000001
4.025e-08,0.0012484768982
4.026e-08,0.0012469876534
4.0269999999999996e-08,0.0012454390840000008
4.028e-08,0.0012438312643999999
4.029e-08,0.0012421642758
4.03e-08,0.0012404381770000003
4.0309999999999995e-08,0.0012386530580000012
4.032e-08,0.0012368090043999999
4.033e-08,0.0012349060906000002
4.0339999999999996e-08,0.0012329444044000013
4.035e-08,0.0012309240324
4.036e-08,0.0012288450802
4.037e-08,0.0012267076378000002
4.0379999999999995e-08,0.0012245117974000015
4.039e-08,0.0012222576612
4.04e-08,0.0012199453392000004
4.0409999999999996e-08,0.0012175749370000016
4.042e-08,0.0012151465534
4.043e-08,0.0012126603118
4.044e-08,0.0012101163188000003
4.0449999999999995e-08,0.0012075147000000018
4.046e-08,0.0012048555698
4.047e-08,0.0012021390538000003
4.0479999999999996e-08,0.0011993652686000018
4.049e-08,0.0011965343542
4.05e-08,0.001193646444
4.051e-08,0.0011907016568000004
4.0519999999999995e-08,0.0011877001404000018
4.053e-08,0.0011846420326
4.054e-08,0.0011815274700000004
4.0549999999999996e-08,0.001178356608200002
4.056e-08,0.0011751295871999998
4.057e-08,0.0011718465514
4.058e-08,0.0011685076586000003
4.0589999999999995e-08,0.0011651130632000023
4.06e-08,0.0011616629308
4.061e-08,0.0011581574136000003
4.0619999999999996e-08,0.0011545966738000023
4.063e-08,0.0011509808792
4.064e-08,0.0011473101964
4.065e-08,0.0011435848066000003
4.0659999999999995e-08,0.0011398048686000024
4.067e-08,0.001135970568
4.068e-08,0.0011320820792000005
4.0689999999999996e-08,0.0011281395900000024
4.07e-08,0.0011241432803999999
4.071e-08,0.0011200933325999998
4.072e-08,0.0011159899366000004
4.0729999999999995e-08,0.0011118332868000026
4.074e-08,0.0011076235843999998
4.075e-08,0.0011033610104000005
4.0759999999999996e-08,0.0010990457782000028
4.077e-08,0.0010946780822
4.078e-08,0.0010902581301999999
4.0789999999999997e-08,0.0010857861244000005
4.0799999999999995e-08,0.001081262277000003
4.081e-08,0.0010766868035999998
4.082e-08,0.0010720599086000006
4.0829999999999996e-08,0.0010673818120000029
4.084e-08,0.0010626527338
4.085e-08,0.0010578728962
4.0859999999999997e-08,0.0010530425270000006
4.0869999999999995e-08,0.0010481618462000032
4.088e-08,0.0010432310804
4.089e-08,0.0010382504708000007
4.0899999999999996e-08,0.0010332202384000031
4.091e-08,0.0010281406322
4.092e-08,0.0010230118731999998
4.0929999999999997e-08,0.0010178342170000007
4.0939999999999995e-08,0.0010126079014000035
4.095e-08,0.0010073331651999997
4.096e-08,0.0010020102693800007
4.0969999999999996e-08,0.0009966394502000035
4.098e-08,0.0009912209670199998
4.099e-08,0.0009857550715999999
4.0999999999999997e-08,0.0009802420215000007
4.1009999999999995e-08,0.0009746820740400036
4.102e-08,0.0009690754912199998
4.103e-08,0.0009634225359200007
4.1039999999999996e-08,0.0009577234741400036
4.105e-08,0.0009519785725399998
4.106e-08,0.0009461881010000007
4.1069999999999997e-08,0.0009403523323000037
4.1079999999999995e-08,0.0009344715395400037
4.109e-08,0.0009285459997199998
4.11e-08,0.0009225759907200007
4.1109999999999996e-08,0.0009165617935400039
4.112e-08,0.0009105036900599998
4.113e-08,0.0009044019655000007
4.1139999999999996e-08,0.000898256906520004
